user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
What is a burn?,"['## WHAT IS BURNS?\n- A burn is an injury to tissue or skin that can be caused by several sources\n- Heat\n- Sunlight\n- Chemicals\n- Electricity\n- Radiation\n- There are six degrees (types) of burns, with 1st thru 3rd being most common household or workplace related\n- First-degree: damages the outer layer of skin only (epidermis)\n- Second-degree: damages both the outer layer and the layer underneath (dermis)\n- Third-degree: damages the deepest layers of skin and underlying tissues, often destroying these tissues\n- Fourth-degree: extends into fat layer\n- Fifth-degree: extends into muscle layers\n- Sixth-degree: extends into bone\n- The severity of a burn depends on how large of an area it covers and how deep the damage goes', '## BANDAGE\nThe bandage is any material  that is used to hold a dressing or  compress in place, to prevemt infection of a wound, to  apply pressure to control bleeding or to support broken  bones when used as a sling. These includes gauze,  triangular, Elastic, and tubular bandage. The most papular bandage  in first aid is the triangular bandage. A triangular bandage  may be used as open or folded. Once folded it is called  cravat.', ""## 3.1 Introduction to first aid and CPR\nDuring medical emergency and accidents , first aid is the first and immediate help given to a sick or injured person, which may  include cardiopulmonary resuscitation (CPR) while waiting for an ambulance/ medical help.  First aid can be performed by someone with basic medical training or, even untrained person.  \nEveryone should learn CPR properly, and also how to use an automated external defibrillator (AED). AED is a machine that is used for electric shock in case of cardiac arrest (stoppage of heart). The AED is usually available at public places/ commercial set-ups like malls, cinema halls and airports etc.  \nThe primary aim of first aid is to minimize pain, prevent death or serious injury from worsening. The key objectives of first aid are as follows:  \n1. The primary objective of first aid is to minimize the pain and  save lives. First aid done correctly should help reduce the patient's pain and stabilise the patient.""]","A burn is an injury to tissue or skin that can be caused by several sources, including heat, sunlight, chemicals, electricity, and radiation. There are six degrees (types) of burns, with 1st through 3rd being the most common household or workplace related. 

- First-degree: damages the outer layer of skin only (epidermis).
- Second-degree: damages both the outer layer and the layer underneath (dermis).
- Third-degree: damages the deepest layers of skin and underlying tissues, often destroying these tissues.
- Fourth-degree: extends into the fat layer.
- Fifth-degree: extends into muscle layers.
- Sixth-degree: extends into bone.

The severity of a burn depends on how large of an area it covers and how deep the damage goes.","A burn is an injury to tissue or skin that can be caused by heat, sunlight, chemicals, electricity, or radiation.",1.0,0.5452245779384229,0.9999999999,1.0
What are the six degrees of burns?,"['## WHAT IS BURNS?\n- A burn is an injury to tissue or skin that can be caused by several sources\n- Heat\n- Sunlight\n- Chemicals\n- Electricity\n- Radiation\n- There are six degrees (types) of burns, with 1st thru 3rd being most common household or workplace related\n- First-degree: damages the outer layer of skin only (epidermis)\n- Second-degree: damages both the outer layer and the layer underneath (dermis)\n- Third-degree: damages the deepest layers of skin and underlying tissues, often destroying these tissues\n- Fourth-degree: extends into fat layer\n- Fifth-degree: extends into muscle layers\n- Sixth-degree: extends into bone\n- The severity of a burn depends on how large of an area it covers and how deep the damage goes', ""## Breathing\nUse the same compression-breath rate that is used for adults: 30 compressions followed by two breaths. This is one cycle.  \n1. With the airway open, pinch the nostrils shut for mouth-to-mouth breathing and cover the child's mouth with yours, making a seal.\n2. Prepare to give two rescue breaths. Give the first rescue breath - lasting one second - and watch to see if the chest rises. If it does rise, give the second breath.\n3. After the two breaths, immediately begin the next cycle of compressions and breaths. If there are two people performing CPR, conduct 15 compressions followed by two breaths.\n4. As soon as an AED is available, use it while following the instructions.\n5. Continue CPR until the child moves or emergency medical help arrives.\n4. If you haven't been trained in CPR, continue chest compressions until there are signs of movement or until emergency medical help arrives. If you have been trained in CPR, go on to next step, opening the airway and rescue breathing."", '## BANDAGE\nThe bandage is any material  that is used to hold a dressing or  compress in place, to prevemt infection of a wound, to  apply pressure to control bleeding or to support broken  bones when used as a sling. These includes gauze,  triangular, Elastic, and tubular bandage. The most papular bandage  in first aid is the triangular bandage. A triangular bandage  may be used as open or folded. Once folded it is called  cravat.']","The six degrees (types) of burns are:

1. First-degree: damages the outer layer of skin only (epidermis).
2. Second-degree: damages both the outer layer and the layer underneath (dermis).
3. Third-degree: damages the deepest layers of skin and underlying tissues, often destroying these tissues.
4. Fourth-degree: extends into the fat layer.
5. Fifth-degree: extends into muscle layers.
6. Sixth-degree: extends into bone.",First-degree: damages epidermis only. Second-degree: damages epidermis and dermis. Third-degree: damages deepest skin layers and underlying tissues. Fourth-degree: extends into fat layer. Fifth-degree: extends into muscle layers. Sixth-degree: extends into bone.,1.0,0.9667705287932393,0.9999999999,1.0
What are the signs and symptoms of a first-degree burn?,"['## WHAT ARE COMMON SIGNS AND SYMPTOMS?\n- First-degree\n- Redness, tenderness, pain\n- Generally no blistering\n- Minor skin damage\n- Second-degree\n- Damage extends beyond the top layer of skin\n- Blisters\n- Extremely red and painful\n- Third-degree\n- Destroy both dermis and epidermis\n- Can extend into tissue underneath\n- Can appear white or charred', ""## Compressions\n1. Put the person on his/her back on a firm surface.\n2. Kneel next to the person's neck and shoulders.\n3. Place the heel of one hand over the centre of the person's chest, between the nipples. Place your other hand on top of the first hand. Keep your elbows straight and position your shoulders directly above your hands.\n4. Use your upper body weight as you push straight down on the chest at least 2 inches (approximately 5 cm). Push hard at a rate of 100 compressions a minute.\n5. If you haven't been trained in CPR, continue chest compressions until there are signs of movement or until emergency medical help arrives. If you have been trained in CPR, go on to next step, opening the airway and rescue breathing.  \nCPR method, compression (Source: Wikipedia)""]","The signs and symptoms of a first-degree burn include redness, tenderness, pain, and generally no blistering, with minor skin damage.","Redness, tenderness, pain, generally no blistering, and minor skin damage.",1.0,0.9999995439446425,0.9999999999,1.0
What are the signs and symptoms of a second-degree burn?,"['## WHEN SHOULD I SEEK MEDICAL HELP?\n- Seek medical attention if the burn covers a large area of the body\n- If there are signs of a deep second-degree or third-degree burn\n- If the blisters appear to be filled with greenish or brown fluid\n- The person burned is an infant or elderly\n- If the burn was caused by electricity\n- Fever\n- Signs of an infection: puss or foul smelling\n- Excessive swelling\n- If a minor burn does not heal in 10 days to 2 weeks', ""## Compressions\n1. Put the person on his/her back on a firm surface.\n2. Kneel next to the person's neck and shoulders.\n3. Place the heel of one hand over the centre of the person's chest, between the nipples. Place your other hand on top of the first hand. Keep your elbows straight and position your shoulders directly above your hands.\n4. Use your upper body weight as you push straight down on the chest at least 2 inches (approximately 5 cm). Push hard at a rate of 100 compressions a minute.\n5. If you haven't been trained in CPR, continue chest compressions until there are signs of movement or until emergency medical help arrives. If you have been trained in CPR, go on to next step, opening the airway and rescue breathing.  \nCPR method, compression (Source: Wikipedia)""]","The signs and symptoms of a second-degree burn include damage that extends beyond the top layer of skin, blisters, and being extremely red and painful.","Damage extends beyond the top layer of skin, blisters, extremely red and painful.",0.0,1.0,0.0,0.0
What are the signs and symptoms of a third-degree burn?,"['## WHEN SHOULD I SEEK MEDICAL HELP?\n- Seek medical attention if the burn covers a large area of the body\n- If there are signs of a deep second-degree or third-degree burn\n- If the blisters appear to be filled with greenish or brown fluid\n- The person burned is an infant or elderly\n- If the burn was caused by electricity\n- Fever\n- Signs of an infection: puss or foul smelling\n- Excessive swelling\n- If a minor burn does not heal in 10 days to 2 weeks', ""## Compressions\n1. Put the person on his/her back on a firm surface.\n2. Kneel next to the person's neck and shoulders.\n3. Place the heel of one hand over the centre of the person's chest, between the nipples. Place your other hand on top of the first hand. Keep your elbows straight and position your shoulders directly above your hands.\n4. Use your upper body weight as you push straight down on the chest at least 2 inches (approximately 5 cm). Push hard at a rate of 100 compressions a minute.\n5. If you haven't been trained in CPR, continue chest compressions until there are signs of movement or until emergency medical help arrives. If you have been trained in CPR, go on to next step, opening the airway and rescue breathing.  \nCPR method, compression (Source: Wikipedia)""]","A third-degree burn can appear white or charred and destroys both the dermis and epidermis, potentially extending into tissue underneath.","Destroys both dermis and epidermis, can extend into tissue underneath, can appear white or charred.",0.0,0.852573078222148,0.0,0.0
What is the most common cause of burns?,"['## WHAT CAUSES BURNS?\n- Being scalded by hot liquids, steam, or hot surfaces is the most common\n- Building fires\n- Flammable liquids and gases\n- Chemicals (wet or dry)\n- Electricity\n- Radiation', '## 3.1 Introduction to first aid and CPR\nCPR can keep oxygenated blood flowing to the brain and other vital organs until more definitive medical treatment restores a normal heart activity.  \nWhen the heart stops, the lack of oxygenated blood can cause brain damage in only a few minutes. A person may die within 5 to 10 minutes.', '## BANDAGE\nThe bandage is any material  that is used to hold a dressing or  compress in place, to prevemt infection of a wound, to  apply pressure to control bleeding or to support broken  bones when used as a sling. These includes gauze,  triangular, Elastic, and tubular bandage. The most papular bandage  in first aid is the triangular bandage. A triangular bandage  may be used as open or folded. Once folded it is called  cravat.']","Being scalded by hot liquids, steam, or hot surfaces is the most common cause of burns.","Being scalded by hot liquids, steam, or hot surfaces is the most common cause of burns.",1.0,0.999999597287002,0.9999999999,1.0
What increases the risk of getting burns?,"['## WHAT INCREASES MY RISK?\n- Not having smoke/fire detectors\n- Unsafe cooking/kitchen practices\n- Working in a profession that has a high risk of burn potential or chemical exposure', ""## 3.1 Introduction to first aid and CPR\n1. The primary objective of first aid is to minimize the pain and  save lives. First aid done correctly should help reduce the patient's pain and stabilise the patient.\n2. First aid also includes addressing  the external factors, such as moving a patient away from any cause of harm or site of accident, away from fire as smoke may cause further choking, and applying first aid techniques to prevent worsening of the condition.\n3. It would also include to accelerate the recovery from the illness or injury, and in some cases might involve completing a treatment, such as applying adhesive bandage to a small wound or supporting a broken arm or leg.  \nIt is important to note that first aid cannot be compared with the care what a trained medical professional provides. First aid involves making common sense decisions in the best interest of an injured person in an emergency situation.  \nFollowing (ABCD) points may be noted in the patient during such emergency :"", '## BANDAGE\nThe bandage is any material  that is used to hold a dressing or  compress in place, to prevemt infection of a wound, to  apply pressure to control bleeding or to support broken  bones when used as a sling. These includes gauze,  triangular, Elastic, and tubular bandage. The most papular bandage  in first aid is the triangular bandage. A triangular bandage  may be used as open or folded. Once folded it is called  cravat.']","Not having smoke/fire detectors, unsafe cooking/kitchen practices, and working in a profession that has a high risk of burn potential or chemical exposure increase the risk of getting burns.","Not having smoke/fire detectors, unsafe cooking/kitchen practices, and working in a profession with high burn potential or chemical exposure.",1.0,1.0,0.9999999999,1.0
What are possible complications of burns?,"['## WHAT IS BURNS?\n- A burn is an injury to tissue or skin that can be caused by several sources\n- Heat\n- Sunlight\n- Chemicals\n- Electricity\n- Radiation\n- There are six degrees (types) of burns, with 1st thru 3rd being most common household or workplace related\n- First-degree: damages the outer layer of skin only (epidermis)\n- Second-degree: damages both the outer layer and the layer underneath (dermis)\n- Third-degree: damages the deepest layers of skin and underlying tissues, often destroying these tissues\n- Fourth-degree: extends into fat layer\n- Fifth-degree: extends into muscle layers\n- Sixth-degree: extends into bone\n- The severity of a burn depends on how large of an area it covers and how deep the damage goes', ""## 3.1 Introduction to first aid and CPR\n1. The primary objective of first aid is to minimize the pain and  save lives. First aid done correctly should help reduce the patient's pain and stabilise the patient.\n2. First aid also includes addressing  the external factors, such as moving a patient away from any cause of harm or site of accident, away from fire as smoke may cause further choking, and applying first aid techniques to prevent worsening of the condition.\n3. It would also include to accelerate the recovery from the illness or injury, and in some cases might involve completing a treatment, such as applying adhesive bandage to a small wound or supporting a broken arm or leg.  \nIt is important to note that first aid cannot be compared with the care what a trained medical professional provides. First aid involves making common sense decisions in the best interest of an injured person in an emergency situation.  \nFollowing (ABCD) points may be noted in the patient during such emergency :""]",Information not available in the provided documents.,"Scarring, septic shock, and death.",1.0,0.0,0.0,0.0
How can you reduce the risk of burns in the kitchen?,"['## HOW DO I REDUCE MY RISK?\n- Install smoke detectors and ensure strict maintenance (change batteries) and testing to make sure they are working\n- General fire safety knowledge and family training\n- Fire escape plans and practice drills\n- Have your fireplace professionally cleaned and inspected yearly\n- Fire extinguisher on every floor and training on how to operate\n- Careful use of space heaters\n- Keep pot and pan handles turned toward the back of the stove while cooking\n- If you have small children\n- Teach children to avoid hot surfaces (stove, campfires, fireworks)\n- Outlet covers\n- Safety locks on cleaning supply storage\n- Do not carry hot items while carrying your child\n- Test bath water before placing your child in the tub\n- Check the temperature of heated beverages before giving them to your child\n- Keep matches and lighters away from your children\n- Test car seats and belt buckles when getting into a hot car\n- If working in a profession with a high risk of burn potential, follow all safety regulations', '## Method\n- Wash hands and wear gloves if possible\n- In case of contaminated wounds, cleanwith  antiseptic solution\n- If antiseptic solution is unavailable, washthe  wound with soap andwater\n- Dry the sides of the wound\n- Open the dressing by removing the  wrappings\n- Place the dressing directly over the wound\n- Bandage firmly using triangular bandage and  secure it by tying the two ends together by  reef knot.\n- Gauze taken in layers may be used instead of  dressing\n- A piece of cloth cut in the shape of bandage  may be used instead of bandage\n- Wash hands with soap and water after  dressing  \n·  \n·  \n·  \n·', ""## Compressions\n1. Put the person on his/her back on a firm surface.\n2. Kneel next to the person's neck and shoulders.\n3. Place the heel of one hand over the centre of the person's chest, between the nipples. Place your other hand on top of the first hand. Keep your elbows straight and position your shoulders directly above your hands.\n4. Use your upper body weight as you push straight down on the chest at least 2 inches (approximately 5 cm). Push hard at a rate of 100 compressions a minute.\n5. If you haven't been trained in CPR, continue chest compressions until there are signs of movement or until emergency medical help arrives. If you have been trained in CPR, go on to next step, opening the airway and rescue breathing.  \nCPR method, compression (Source: Wikipedia)""]","- Install smoke detectors and ensure strict maintenance (change batteries) and testing to make sure they are working.
- General fire safety knowledge and family training.
- Fire escape plans and practice drills.
- Careful use of space heaters.
- Keep pot and pan handles turned toward the back of the stove while cooking.
- Teach children to avoid hot surfaces (stove, campfires, fireworks).","Keep pot and pan handles turned toward the back of the stove. Install smoke detectors, have fire extinguishers, and practice general fire safety.",0.15384615384615385,0.5436631155128351,0.9999999999,1.0
What self-care measures should be taken for minor burns?,"['## WHAT GENERAL MEASURES SHOULD I TAKE?\n- Your healthcare provider will perform an exam, collect information regarding your signs and symptoms, and history of how burn happened\n- Self-care\n- For minor burns\n- Place area in cool water for 10-15 minutes\n- Dry gently with a clean cloth\n- Cover with a sterile gauze or non-adhesive bandage\n- Do not break blisters\n- Over-the-counter pain medications can help with pain and swelling\n- For more severe burns\n- Follow your health care providers instructions\n- Activity\n- Activity recommendations and restrictions would be dependant on degree, location, and severity of burn\n- Diet\n- Remain adequately hydrated while healing\n- Dietary restrictions generally are not required unless burns affect your ability to eat, chew, or swallow\n- Helpful Link(s)\n- To learn more: National Library of Medicine; MedlinePlus\n- Website: https://medlineplus.gov/burns.html', '## 3.1 Introduction to first aid and CPR\nFollowing (ABCD) points may be noted in the patient during such emergency :  \n1. Airways : Airways are clear ?  \n2. Beathing : Respiration is adequately maintained ?  \n3. Circulation : any possibility of internal bleeding ?  \n4. Disability : difficulty in body functions or, activity limitations ?  \nIn such scenario, the following points should be kept in mind and appropriate actions taken accordingly for the benefit of the patient :  \n1. Is the environment safe for the person?\n2. Is the person conscious or unconscious?\n3. If the person appears unconscious, tap &amp; talk, shake his/her shoulder and ask loudly (shout) , ""Are you okay?""\n4. Call your local emergency helpline number.\n5. Look &amp; listen : See the movements of chest, and try to listen breathing sound\n6. Try to feel pulse at neck (carotid artery, one side, not more than 10 seconds)\n7. Begin CPR.\n8. If an AED is available, deliver one shock as instructed, then begin CPR.']","For minor burns, the following self-care measures should be taken:

- Place the area in cool water for 10-15 minutes.
- Dry gently with a clean cloth.
- Cover with a sterile gauze or non-adhesive bandage.
- Do not break blisters.
- Over-the-counter pain medications can help with pain and swelling.","Place area in cool water for 10-15 minutes, dry gently with a clean cloth, cover with sterile gauze or non-adhesive bandage, do not break blisters, and use over-the-counter pain medications if needed.",1.0,1.0,0.9999999999,1.0
What should you not do when treating a minor burn?,"['## WHAT ARE MY TREATMENT OPTIONS?\n- Minor burns can usually be treated at home with self-care\n- Remove person or body part from source of heat/ burn agent\n- Run cool water over the area or hold a cold compress on the area until the pain is relieved\n- Do not use butter, vaseline, ice, or other home remedies\n- Remove any tight clothing or jewelry from the area burned\n- You can apply antibiotic cream\n- Cover with a sterile gauze or non-adhesive bandage\n- Try to keep the burned area elevated to help reduce swelling\n- Serious burns/ third-degree burns\n- Seek immediate medical attention\n- You may require hospitalization or transfer to a burn unit\n- Burned tissue may be removed and covered with skin graft\n- Chemical burns\n- Dry chemicals should be brushed off the skin by a person wearing gloves\n- Remove clothing and jewelry and rinse chemicals off the skin in a shower for 15 to 20 minutes\n- Be careful to protect your eyes', ""## Compressions\n1. Put the person on his/her back on a firm surface.\n2. Kneel next to the person's neck and shoulders.\n3. Place the heel of one hand over the centre of the person's chest, between the nipples. Place your other hand on top of the first hand. Keep your elbows straight and position your shoulders directly above your hands.\n4. Use your upper body weight as you push straight down on the chest at least 2 inches (approximately 5 cm). Push hard at a rate of 100 compressions a minute.\n5. If you haven't been trained in CPR, continue chest compressions until there are signs of movement or until emergency medical help arrives. If you have been trained in CPR, go on to next step, opening the airway and rescue breathing.  \nCPR method, compression (Source: Wikipedia)"", '## GUIDELINES IN USING DRESSING ANDBANDAGES\nUse a dressing that is large enough to extend atleast 1 inch beyond the  edges of the wound. If body tissue or organs are exposed, cover the wound with a dressing  that will not stick, such as plastic wrap or moistened gauze. then secure  the dressing with a bandage or adhesive tapes. If the bandage is over a joint, splint and make a bulky dressing so the  joint remains immobilized. if there is no movement of a wound over joint,  there should be improved healing and reduced scarring. A bandage should fit snugly but should not cut off circulation or cause the  victim discomfort. If the area beyond the wound changes in color, begins  to tingle or feel cold, or if the wound starts to swell, the bandages is too  tight and should be loosened.']","Do not use butter, vaseline, ice, or other home remedies. Do not break blisters.","Do not use butter, vaseline, ice, or other home remedies. Do not break blisters.",0.8,0.739395214765402,0.9999999999,0.5
How are chemical burns treated?,"[""## WHAT ARE MY TREATMENT OPTIONS?\n- Remove clothing and jewelry and rinse chemicals off the skin in a shower for 15 to 20 minutes\n- Be careful to protect your eyes\n- Wet chemicals should be flushed off affected areas with cool running water for 20 minutes or longer or until emergency help arrives\n- If you or someone else has swallowed a chemical substance or an object that could be harmful (e.g., watch battery) call poison control first (1-800-222-1222) and then 911\n- It is helpful to know what chemical product has been swallowed\n- Take it with you to the hospital if unsure\n- Minor electrical burns can be treated with cool (not cold or ice) compresses\n- After cleansing, a mild antibiotic ointment and bandage may be applied\n- A tetanus shot is also recommended, especially if the person has not had one in more than 10 years\n- For more serious electrical burns\n- Check for breathing\n- If the person is not breathing, start rescue breathing if you know how\n- Raise burned arms and legs higher than the person's heart"", '## Method\n- Wash hands and wear gloves if possible\n- In case of contaminated wounds, cleanwith  antiseptic solution\n- If antiseptic solution is unavailable, washthe  wound with soap andwater\n- Dry the sides of the wound\n- Open the dressing by removing the  wrappings\n- Place the dressing directly over the wound\n- Bandage firmly using triangular bandage and  secure it by tying the two ends together by  reef knot.\n- Gauze taken in layers may be used instead of  dressing\n- A piece of cloth cut in the shape of bandage  may be used instead of bandage\n- Wash hands with soap and water after  dressing  \n·  \n·  \n·  \n·']","For chemical burns, the treatment options include:

- Dry chemicals should be brushed off the skin by a person wearing gloves.
- Remove clothing and jewelry and rinse chemicals off the skin in a shower for 15 to 20 minutes.
- Be careful to protect your eyes.",Dry chemicals should be brushed off the skin by a person wearing gloves. Remove clothing and jewelry and rinse chemicals off the skin in a shower for 15-20 minutes. Wet chemicals should be flushed off with cool running water for 20 minutes or longer.,0.8,0.8934695994136291,0.9999999999,0.6666666666666666
When should you seek medical help for a burn?,"['## WHEN SHOULD I SEEK MEDICAL HELP?\n- Seek medical attention if the burn covers a large area of the body\n- If there are signs of a deep second-degree or third-degree burn\n- If the blisters appear to be filled with greenish or brown fluid\n- The person burned is an infant or elderly\n- If the burn was caused by electricity\n- Fever\n- Signs of an infection: puss or foul smelling\n- Excessive swelling\n- If a minor burn does not heal in 10 days to 2 weeks', ""## Compressions\n1. Put the person on his/her back on a firm surface.\n2. Kneel next to the person's neck and shoulders.\n3. Place the heel of one hand over the centre of the person's chest, between the nipples. Place your other hand on top of the first hand. Keep your elbows straight and position your shoulders directly above your hands.\n4. Use your upper body weight as you push straight down on the chest at least 2 inches (approximately 5 cm). Push hard at a rate of 100 compressions a minute.\n5. If you haven't been trained in CPR, continue chest compressions until there are signs of movement or until emergency medical help arrives. If you have been trained in CPR, go on to next step, opening the airway and rescue breathing.  \nCPR method, compression (Source: Wikipedia)""]","Seek medical attention if the burn covers a large area of the body, if there are signs of a deep second-degree or third-degree burn, if the blisters appear to be filled with greenish or brown fluid, if the person burned is an infant or elderly, if the burn was caused by electricity, if there is fever, signs of an infection (pus or foul smelling), excessive swelling, or if a minor burn does not heal in 10 days to 2 weeks.","If the burn covers a large area, if there are signs of deep second-degree or third-degree burn, if blisters have greenish or brown fluid, if the person is an infant or elderly, if caused by electricity, fever, signs of infection, excessive swelling, or if a minor burn does not heal in 10 days to 2 weeks.",1.0,0.9714413792654331,0.9999999999,1.0
What medications may be prescribed for burns?,"['## WHAT ARE MY TREATMENT OPTIONS?\n- Minor burns can usually be treated at home with self-care\n- Remove person or body part from source of heat/ burn agent\n- Run cool water over the area or hold a cold compress on the area until the pain is relieved\n- Do not use butter, vaseline, ice, or other home remedies\n- Remove any tight clothing or jewelry from the area burned\n- You can apply antibiotic cream\n- Cover with a sterile gauze or non-adhesive bandage\n- Try to keep the burned area elevated to help reduce swelling\n- Serious burns/ third-degree burns\n- Seek immediate medical attention\n- You may require hospitalization or transfer to a burn unit\n- Burned tissue may be removed and covered with skin graft\n- Chemical burns\n- Dry chemicals should be brushed off the skin by a person wearing gloves\n- Remove clothing and jewelry and rinse chemicals off the skin in a shower for 15 to 20 minutes\n- Be careful to protect your eyes', '## 3.1 Introduction to first aid and CPR\nCPR can keep oxygenated blood flowing to the brain and other vital organs until more definitive medical treatment restores a normal heart activity.  \nWhen the heart stops, the lack of oxygenated blood can cause brain damage in only a few minutes. A person may die within 5 to 10 minutes.']","Topical antibiotics, a tetanus shot if not current, and dressings containing silver to help prevent infection may be prescribed for burns.","Topical antibiotics, tetanus shot if not current, and dressings containing silver to prevent infection.",0.0,0.8916357921382817,0.0,0.0
What is a dressing?,"['## DRESSING\nA  dressingis a sterile pad, compress that is  applied directly over a wound to promote  healing.', '## WHAT MEDICATIONS MAY BE PRESCRIBED?\n- Topical antibiotics\n- Tetanus shot if not current\n- Dressings containing silver to help prevent infection']",A dressing is a sterile pad or compress that is applied directly over a wound to promote healing.,A dressing is a sterile pad or compress applied directly over a wound to promote healing.,1.0,0.8776604219875477,0.9999999999,1.0
What are the purposes of a dressing?,"['## Purposes of dressing-\n- To protect thewound\n- To control/ stop bleeding\n- To apply medication\n- To absorb excess moisture / discharges from  the wound\n- To prevent infection\n- To prevent further injury\n- To promote healing\n- Provide comfort', '## WHAT MEDICATIONS MAY BE PRESCRIBED?\n- Topical antibiotics\n- Tetanus shot if not current\n- Dressings containing silver to help prevent infection']","The purposes of a dressing are to protect the wound, control/stop bleeding, apply medication, absorb excess moisture/discharges from the wound, prevent infection, prevent further injury, promote healing, and provide comfort.","To protect the wound, control bleeding, apply medication, absorb moisture, prevent infection, prevent further injury, promote healing, and provide comfort.",1.0,0.9999996829031991,0.9999999999,1.0
