user_input,retrieved_contexts,response,reference,faithfulness,answer_relevancy,context_precision,context_recall
What is the required timeline for charge capture after service delivery according to the finance policy?,"['## 1.1 Charge Capture Requirements\nAll billable services must be captured within 24 hours of service delivery. Each department must submit charges daily. Late charges (beyond 48 hours) require supervisor approval.', '## Mandatory Exclusions\nOIG is required by law to exclude from participation in all Federal health care programs individuals and entities convicted of certain types of criminal offenses, including:  \n- offenses related to the delivery of an item or service under Medicare or a State health care program;  \n[43 Section 1128B(f) of the Act, 42 U.S.C. § 1320a-7b(f).](https://www.ssa.gov/OP_Home/ssact/title11/1128B.htm#:%7E:text=(f)%20For,section%201128(h).)  \n[44 Section 1128(h) of the Act, 42 U.S.C. 1320a-7(h).](https://www.ssa.gov/OP_Home/ssact/title11/1128.htm)  \n- patient abuse or neglect;\n- felony convictions for other health care-related fraud, theft, embezzlement, breach of fiduciary responsibility, or other financial misconduct; and\n- felony convictions relating to the unlawful manufacture, distribution, prescription, or dispensing of controlled substances. 45']",All billable services must be captured within 24 hours of service delivery.,All billable services must be captured within 24 hours of service delivery. Each department must submit charges daily. Late charges (beyond 48 hours) require supervisor approval.,0.0,0.6392419106309455,0.9999999999,1.0
What must the coding team verify for CPT coding compliance?,"['## 1.2 CPT Coding Standards\nAll procedures must be coded using current CPT (Current Procedural Terminology) codes. The coding team must verify:  \n- Medical necessity documentation exists\n- Procedure matches diagnosis code\n- Modifiers are correctly applied\n- No unbundling of services', ""## Designated health services are:\n- clinical laboratory services;\n- physical therapy, occupational therapy, and outpatient speech-language pathology services;\n- radiology and certain other imaging services;\n- radiation therapy services and supplies;\n- durable medical equipment and supplies;\n- parenteral and enteral nutrients, equipment, and supplies;\n- prosthetics, orthotics, and prosthetic devices and supplies;\n- home health services;\n- outpatient prescription drugs; and\n- inpatient and outpatient hospital services.  \nBecause CMS's regulations define certain categories of DHS by Current Procedural Terminology (CPT) and Healthcare Common Procedure Coding System (HCPCS) codes, CMS publishes an updated list of codes for the relevant DHS annually.""]","The coding team must verify that medical necessity documentation exists, the procedure matches the diagnosis code, modifiers are correctly applied, and there is no unbundling of services.","The coding team must verify: Medical necessity documentation exists, Procedure matches diagnosis code, Modifiers are correctly applied, No unbundling of services.",1.0,0.7568981108521521,0.9999999999,1.0
To what level must all diagnoses be coded under ICD-10?,"['## 1.3 Diagnosis Coding (ICD-10)\nAll diagnoses must be coded to the highest level of specificity. Principal diagnosis must be clearly documented by the attending physician.', ""## Designated health services are:\nBecause CMS's regulations define certain categories of DHS by Current Procedural Terminology (CPT) and Healthcare Common Procedure Coding System (HCPCS) codes, CMS publishes an updated list of codes for the relevant DHS annually.  \n9 In 1993, section 13624 of the Omnibus Budget Reconciliation Act (P.L. No. 103-66), 'Application of Medicare Rules Limiting Certain Physician Referrals,' added a new paragraph (s) to section 1903 of the Act, to extend aspects of the physician self-referral prohibitions to Medicaid.  This section in part states that 'no payment shall be made to a State under this section for expenditures for medical assistance under the State plan consisting of a designated health service (as defined in subsection (h)(6) of section 1877) furnished to an individual on the basis of a referral that would result in the denial of payment.'  \n10 Section 1877 of the Act, 42 U.S.C. § 1395nn; 42 C.F.R. §§ 411.350-11.389.  \nWhen analyzing an arrangement under the PSL, it is important to determine whether certain key elements are present.  The PSL is implicated only when all six of the following elements are present: 11  \n1. A physician\n2. Makes a referral""]",All diagnoses must be coded to the highest level of specificity.,All diagnoses must be coded to the highest level of specificity.,1.0,0.7746844523689278,0.9999999999,1.0
Who must clearly document the principal diagnosis?,"['## 1.3 Diagnosis Coding (ICD-10)\nAll diagnoses must be coded to the highest level of specificity. Principal diagnosis must be clearly documented by the attending physician.', '## 1. Investigations of Violations\nMost internal investigations will require interviews and a review of relevant documents.  Data review, email searches, and audits may also be required.  The compliance officer or counsel should take appropriate steps to secure or prevent the destruction of documents or other evidence relevant to the investigation.  Based on the potential scope and severity of the suspected violation and the necessary investigative tasks, entities should consider whether they  \nneed to engage external counsel, auditors, or health care experts to aid with the investigation. If counsel or the compliance officer believes the integrity of the investigation may be at stake because of the presence of employees under investigation, those subjects should be removed from their current work activity until the investigation is completed (unless an internal or Government-led undercover operation is in effect).  \nRegardless of the size or severity of the violation being investigated, a contemporaneous record of the investigation should be maintained, so that a record of the investigation can be compiled.  The record should include:  \n- documentation of the alleged violation;']",The attending physician must clearly document the principal diagnosis.,Principal diagnosis must be clearly documented by the attending physician.,1.0,0.5595388364977728,0.9999999999,1.0
Which services require prior authorization according to the finance policy?,"['## 2.1 Pre-Authorization Requirements\nThe following services require prior authorization:  \n- All inpatient admissions\n- MRI, CT, PET scans\n- Surgeries and interventional procedures\n- Expensive medications (&gt;$1,000 per dose)\n- Outpatient physical therapy beyond 12 visits', ""## B. Physician Self-Referral Law\nThe Federal physician self-referral (PSL) law, also known as the 'Stark law,' prohibits a physician from making referrals for certain designated health services (DHS) payable by Medicare 9 to an entity with which the physician (or an immediate family member) has a financial relationship, unless an exception applies and its requirements are satisfied. 10 Financial relationships include ownership and investment interests as well as compensation arrangements.  For example, if a physician invests in an imaging center to which the physician refers Medicare beneficiaries for DHS, the PSL requires that the financial relationship satisfies all requirements of an applicable exception.  If it does not, the PSL prohibits the physician from making a referral for DHS to be furnished by the imaging center and prohibits the imaging center from billing Medicare (or any individual, third-party payor, or other entity) for the improperly referred DHS.""]","The services that require prior authorization are: all inpatient admissions, MRI, CT, PET scans, surgeries and interventional procedures, expensive medications (greater than $1,000 per dose), and outpatient physical therapy beyond 12 visits.","The following services require prior authorization: All inpatient admissions, MRI, CT, PET scans, Surgeries and interventional procedures, Expensive medications (> $1,000 per dose), Outpatient physical therapy beyond 12 visits.",0.0,0.8569476712912558,0.9999999999,1.0
What is the insurance verification timeline for scheduled services?,"['## 2.2 Insurance Verification Timeline\nInsurance verification must be completed at least 48 hours before scheduled services. For emergency admissions, verification must occur within 24 hours of admission.', ""## Policy Maintenance\nUp-to-date policies and procedures are a critical element of a compliance program. Entities should ensure that they finalize and make available to relevant individuals any new or revised policies and procedures before implementing or altering practices and processes.  The entity's employees, contractors, and other relevant individuals should be able to rely on an entity's policies and procedures as the entity's current instructions on a particular subject.  Having policy and procedure documents that are not up to date diminishes their credibility to the users of such policies and procedures and""]",Insurance verification must be completed at least 48 hours before scheduled services.,Insurance verification must be completed at least 48 hours before scheduled services.,1.0,0.8397154809480318,0.9999999999,1.0
When must insurance verification occur for emergency admissions?,"['## 2.2 Insurance Verification Timeline\nInsurance verification must be completed at least 48 hours before scheduled services. For emergency admissions, verification must occur within 24 hours of admission.', '## D. Civil Monetary Penalty Authorities\n- presenting a claim for a pattern of medical or other items or services that a person knows or should know are not medically necessary; 24\n- committing acts described in the Federal anti-kickback statute; 25\n- failing to report and return a known overpayment; 26\n- failing to provide an adequate medical screening examination for patients who present to a hospital emergency department with an emergency medical condition or in labor; 27 and\n- making a false record or statement material to a false or fraudulent claim for payment for items and services furnished under a Federal health care program. 28']",Insurance verification must occur within 24 hours of admission for emergency admissions.,"For emergency admissions, verification must occur within 24 hours of admission.",1.0,1.0,0.9999999999,1.0
What discount do uninsured patients receive on all hospital services?,"['## 2.3 Uninsured Patient Policy\nUninsured patients receive a 35% discount on all hospital services. Payment plans are available:  \n- Up to 12 months for bills under $5,000\n- Up to 24 months for bills $5,000 - $20,000\n- Up to 36 months for bills over $20,000', ""## Designated health services are:\n- clinical laboratory services;\n- physical therapy, occupational therapy, and outpatient speech-language pathology services;\n- radiology and certain other imaging services;\n- radiation therapy services and supplies;\n- durable medical equipment and supplies;\n- parenteral and enteral nutrients, equipment, and supplies;\n- prosthetics, orthotics, and prosthetic devices and supplies;\n- home health services;\n- outpatient prescription drugs; and\n- inpatient and outpatient hospital services.  \nBecause CMS's regulations define certain categories of DHS by Current Procedural Terminology (CPT) and Healthcare Common Procedure Coding System (HCPCS) codes, CMS publishes an updated list of codes for the relevant DHS annually.""]",Uninsured patients receive a 35% discount on all hospital services.,Uninsured patients receive a 35% discount on all hospital services.,1.0,0.9822154923917803,0.9999999999,1.0
"What payment plan terms are available for uninsured patients with bills under $5,000?","['## 2.3 Uninsured Patient Policy\nUninsured patients receive a 35% discount on all hospital services. Payment plans are available:  \n- Up to 12 months for bills under $5,000\n- Up to 24 months for bills $5,000 - $20,000\n- Up to 36 months for bills over $20,000', '## 2. Payment Incentives\nCompliance officers should be attuned to the varying risks associated with the payment methodologies through which health care entities are reimbursed for the items and services they provide.  For example, when an insurer, including Federal health care programs, pays on a volume-sensitive or fee-for-service basis, there may be increased risks of overutilization, inappropriate patient steering, and use of more expensive items or services than needed. When an insurer pays on a capitated basis, heightened risks include stinting on care and discriminating against more costly patients.  Payments that take into account quality of care or other performance measures may give rise to risk of gaming of data to qualify for performancebased payment.  When payment incentives and associated risks are fully understood, compliance officers, including those at entities with private investment, are better positioned to design informed audit plans, conduct effective monitoring, detect problems early, and implement effective preventive strategies.']","Uninsured patients with bills under $5,000 can have payment plans for up to 12 months.","Up to 12 months for bills under $5,000",1.0,0.8943231404902224,0.9999999999,1.0
What is the Medicare timely filing limit from date of service?,"['## 3.2 Medicaid Billing Rules\n- Medicaid is payer of last resort\n- Must verify eligibility 24 hours before service\n- Timely filing limit: 6 months from date of service\n- Copayments cannot exceed $3 per visit', ""## Designated health services are:\nBecause CMS's regulations define certain categories of DHS by Current Procedural Terminology (CPT) and Healthcare Common Procedure Coding System (HCPCS) codes, CMS publishes an updated list of codes for the relevant DHS annually.  \n9 In 1993, section 13624 of the Omnibus Budget Reconciliation Act (P.L. No. 103-66), 'Application of Medicare Rules Limiting Certain Physician Referrals,' added a new paragraph (s) to section 1903 of the Act, to extend aspects of the physician self-referral prohibitions to Medicaid.  This section in part states that 'no payment shall be made to a State under this section for expenditures for medical assistance under the State plan consisting of a designated health service (as defined in subsection (h)(6) of section 1877) furnished to an individual on the basis of a referral that would result in the denial of payment.'  \n10 Section 1877 of the Act, 42 U.S.C. § 1395nn; 42 C.F.R. §§ 411.350-11.389.  \nWhen analyzing an arrangement under the PSL, it is important to determine whether certain key elements are present.  The PSL is implicated only when all six of the following elements are present: 11  \n1. A physician\n2. Makes a referral""]",The Medicare timely filing limit is 12 months from the date of service.,Medicare timely filing limit: 12 months from date of service,0.0,0.9359842480578503,0.0,0.0
